search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
NFL playoffs,/watch?v=mLziV3H6-d8&pp=ygUMTkZMIHBsYXlvZmZz,/@CBSSports,CBS Sports,"Former Super Bowl Champion predicts NFL Playoff bracket, crowns a Super Bowl winner 🏆",82K,2 weeks,"Bryant McFadden joins CBS Sports HQ to go through his ENTIRE NFL Playoff Bracket. At the end , he, Joe Musso, Jonathan ...",2026-01-22 05:21:56.925408
NFL playoffs,/watch?v=0p0giGOZOoI&pp=ygUMTkZMIHBsYXlvZmZz,/@CBSSports,CBS Sports,"NFL Playoff Preview: Breaking Down EVERY Wild Card Game | Matchups, Predictions & Key Storylines",265K,2 weeks,"Jonathan Jones, Bryant McFadden and Patrick Peterson join CBS Sports HQ to break down every NFC & AFC wild card game.",2026-01-22 05:21:56.927240
NFL playoffs,/watch?v=squL8AgDa9A&pp=ygUMTkZMIHBsYXlvZmZz,/@NFLonNBC,NFL on NBC,"NFL Wild Card recap: Bears storm back, Josh Allen steps up + Lessons learned | FNIA | NFL on NBC",94K,10 days,#NBCSports #NFL #SundayNightFootball #NFLPlayoffs » Watch SNF on Peacock: https://peacocktv.smart.link/v82e9dl56 ...,2026-01-22 05:21:56.928662
NFL playoffs,/shorts/JWd-aJeHJUs,/@house_call,House Call,NFL Playoff Losers Biggest Flaws!,302K,3 days,How to fix NFL losers #nfl.,2026-01-22 05:21:56.930565
NFL playoffs,/shorts/ILqeYsyDarw,/@brgridiron,B/R Gridiron,A look at the current NFL playoff picture heading into MNF 👀📺,20K,2 months,nfl #nflfootball #football #playoffs #superbowl.,2026-01-22 05:21:56.932000
NFL playoffs,/watch?v=Yz_1SkfC4o4&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,TOP 15 Plays of Wild Card Weekend,344K,9 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:21:56.933592
NFL playoffs,/shorts/B8dnV0gcLT8,/@patriots,New England Patriots,Milton almost had that pick 😂 #micdup #patriots #nfl #playoffs #shorts,84K,1 day,,2026-01-22 05:21:56.934889
NFL playoffs,/shorts/Qj_VsQ3UdyQ,/@joekarp,Joe Karp,100% Correct Super Bowl predictions for the 2024 NFL Playoffs! #nfl #playoffs #predictions  #shorts,762K,2 years,... the number one Baltimore Ravens the bills finally destroy the chiefs of the playoffs while the 49ers absolutely destroy the Eagles ...,2026-01-22 05:21:56.936275
NFL playoffs,/watch?v=8UewGRn84QI&pp=ygUMTkZMIHBsYXlvZmZz,/@UrinatingTree,UrinatingTree,The Haters Guide to the 2026 NFL Playoffs,325K,12 days,This season has been the epitome of chaos. Nothing has been routine. Three of the four Championship game participants from ...,2026-01-22 05:21:56.937375
NFL playoffs,/watch?v=wt4926v4whA&pp=ygUMTkZMIHBsYXlvZmZz,/@CBSSports,CBS Sports,NFL analyst predicts NFL Playoff bracket and crowns a Super Bowl champion 👀🏆,39K,2 weeks,NFL analyst Ryan Wilson joins CBS Sports HQ to fill out his NFL Playoff bracket and crown a Super Bowl Champion. [0:00:00] ...,2026-01-22 05:21:56.939133
NFL playoffs,/watch?v=hvgQcVbRaL4&pp=ygUMTkZMIHBsYXlvZmZz,/@NFLVault,NFL Throwback,Best Playoff Game From EVERY Season Since 2000!,124K,2 weeks,0:00 2000 2:19 2001 4:35 2002 6:28 2003 9:13 2004 11:11 2005 13:50 2006 16:16 2007 18:20 2008 20:50 2009 22:59 2010 ...,2026-01-22 05:21:56.940869
NFL playoffs,/watch?v=DzjvzemCwuc&pp=ygUMTkZMIHBsYXlvZmZz0gcJCYcKAYcqIYzv,/@ESPNNFL,NFL on ESPN,Wild Card Weekend 🔥 Keys for Caleb Williams' NFL Playoffs debut + Concerns for 49ers!? | NFL Live,57K,2 weeks,"On NFL Live, Marcus ""Swagu"" Spears, Dan Orlovsky, Mina Kimes and Courtney Cronin join Field Yates to discuss the biggest ...",2026-01-22 05:21:56.942585
NFL playoffs,/watch?v=vf1rXfmPNVE&pp=ygUMTkZMIHBsYXlvZmZz,/@TomGrossiComedy,Tom Grossi,NFL Divisional Round Predictions,175K,7 days,"And then there were 8. After the insanity of the Wild Card Round, it's time to predict all 4 games in the NFL Divisional Round.",2026-01-22 05:21:56.944349
NFL playoffs,/shorts/KDxqz27frG0,/@Coolyy.,Coolyy,If The NFL Playoffs Started Today… #shorts,24K,3 months,"shorts #nfl #nflplayoffs #nflweek4 All rights go to ESPN, Fox, CBS, NBC, Amazon, NFL Network, Universal Music Group, the NFL ...",2026-01-22 05:21:56.945550
NFL playoffs,/shorts/D8fkdpAPb_s,/@KPearceTV,Kevin Pearce,"NFL Playoffs Were Brutal, Buffalo Choked, Seattle Humiliated SF",No,8 hours,"The NFL Playoffs reminded everyone why this sport is ruthless. In Denver, Buffalo had chances and gave every single one back.",2026-01-22 05:21:56.946673
NFL playoffs,/shorts/LyEdjYh57rk,/@AndrewFenichel,Andrew Fenichel,My Picks for the NFL Divisional Playoffs 🍿,107K,5 days,,2026-01-22 05:21:56.947782
NFL playoffs,/watch?v=6Gh7fYbKouQ&pp=ygUMTkZMIHBsYXlvZmZz,/@BlackWhiteSportsFootball,Black & White Sports Football,Broncos QB Bo Nix OUT for the NFL playoffs after BREAKING HIS ANKLE in playoff game vs Bills!,9K,3 days,Become a member at www.blackwhitenetwork.com for just $10 per month with a 7 day FREE TRIAL and get exclusive content and ...,2026-01-22 05:21:56.949197
NFL playoffs,/watch?v=VkS776F-Gzw&pp=ygUMTkZMIHBsYXlvZmZz,/@CBSSports,CBS Sports,UPDATED NFL Playoff Picture: Teams Built for a Deep Run + Are the Jaguars Legit AFC Contenders? 🏆,200K,4 weeks,"Bryant McFadden, Jonathan Jones, and Patrick Peterson join CBS Sports HQ to break down the latest NFL Playoff Picture after ...",2026-01-22 05:21:56.950855
