search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
NFL highlights,/shorts/GvvHzl_ycS4,/@AceBall325,AceBall Entertainment,Eagles with some Big Dawg Business on this play 🔫🔫 #nfl #highlights #eagles #superbowl #jalenhurts,1.8M,11 months,,2026-01-22 05:23:08.356516
NFL highlights,/watch?v=DMyRG2DocCY&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,New England Patriots vs Baltimore Ravens Game Highlights | 2025 NFL Season Week 16,2.6M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:08.358009
NFL highlights,/watch?v=Wz9TLabcHBU&pp=ygUOTkZMIGhpZ2hsaWdodHPSBwkJhwoBhyohjO8%3D,/@Nhancut_TV,Nhàn Cụt TV,Steelers Vs.Texans 4th-QTTR | Wild Card | Full Game Highlights | NFL Playoffs 2026,17K,9 days,"Nhàn Cụt TV thân chào tất cả mọi người,Nhàn xin tiếp nhận thông tin hoàn cảnh. Người già neo đơn,đau yếu bệnh tật,hoàn cảnh ...",2026-01-22 05:23:08.359088
NFL highlights,/watch?v=Lt0_Oko0_OM&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Cleveland Browns vs. Cincinnati Bengals Game Highlights | NFL 2025 Season Week 18,1M,2 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:08.360553
NFL highlights,/watch?v=gxbCNz3SLLE&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Seattle Seahawks vs. Carolina Panthers Game Highlights | NFL 2025 Season Week 17,930K,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:08.361995
NFL highlights,/watch?v=ynQn9g_a4mc&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@LamsTV,Lam's TV,Texans vs. Steelers [Crazy] Wild Card | Full Game Highlight | 2026 NFL Season Today,14K,9 days,NFL HIGHLIGHS TODAY Texans vs Steelers [Crazy] Wild Card | Full Game Highlight | 2026 NFL Season Today THANKS FOR ...,2026-01-22 05:23:08.363393
NFL highlights,/watch?v=UPPDFlXn2nY&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Dallas Cowboys vs Detroit Lions Game Highlights | 2025 NFL Season Week 14,2.8M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:08.364872
NFL highlights,/watch?v=4WBufcaMCHc&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Houston Texans vs Los Angeles Chargers Game Highlights | 2025 NFL Season Week 17,1.5M,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.886661
NFL highlights,/watch?v=ngJ_4F4DaZ0&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Green Bay Packers vs Chicago Bears Game Highlights | 2025 NFL Season Week 16,3.2M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.888047
NFL highlights,/shorts/800yIWIm6Hw,/@detroitlionzprodz,DetroitLionzProdz,Tyreek… #shorts #edit,4.7M,1 year,,2026-01-22 05:23:17.889111
